time,Open,High,Low,Close,Volume
2021-11-04T16:42:00Z,4542.626982,4546.74,4541.86,4544.1275,53.97468269
2021-11-04T16:43:00Z,4543.377241,4547.91,4543.377241,4546.175,16.41952228
2021-11-04T16:44:00Z,4544.776121,4547.59,4543.31,4545.45,14.04327008
2021-11-04T16:45:00Z,4545.11306,4545.46,4543.17,4544.315,1.06879283
2021-11-04T16:46:00Z,4544.71403,4545.55,4541.96,4543.755,1.71415483
2021-11-04T16:47:00Z,4544.234515,4544.234515,4537.83,4539.88,0.8203
2021-11-04T16:48:00Z,4542.057258,4542.057258,4535.75,4536.505,1.70154808
2021-11-04T16:49:00Z,4539.281129,4539.281129,4536.08,4536.76,15.28659902
2021-11-04T16:50:00Z,4538.020564,4538.020564,4535.29,4536.0925,65.18494646
2021-11-04T16:51:00Z,4537.056532,4537.49,4535.29,4536.58,17.34166474
2021-11-04T16:52:00Z,4536.818266,4537.55,4534.04,4535.4525,16.32682385
2021-11-04T16:53:00Z,4536.135383,4537.11,4535.19,4535.685,2.41335104
2021-11-04T16:54:00Z,4535.910192,4535.910192,4534.02,4534.805,2.96509351
2021-11-04T16:56:00Z,4535.357596,4535.39,4534,4534.695,12.71039032
2021-11-04T16:57:00Z,4535.026298,4535.026298,4533.58,4534.085,26.59121498
2021-11-04T16:58:00Z,4534.555649,4535.28,4531.77,4533.7025,2.58171883
2021-11-04T16:59:00Z,4534.129074,4534.129074,4524.65,4526.73,23.35718322
2021-11-04T17:01:00Z,4530.429537,4530.429537,4519.73,4519.905,5.55301914
2021-11-04T17:02:00Z,4525.167269,4525.167269,4516.14,4518.3075,3.21049969
2021-11-04T17:03:00Z,4521.737384,4521.737384,4512.68,4514.0725,3.66563581
2021-11-04T17:04:00Z,4517.904942,4517.904942,4512.36,4512.9225,38.63501843
2021-11-04T17:05:00Z,4515.413721,4518,4509.67,4513.005,61.05751948
2021-11-04T17:06:00Z,4514.209361,4514.209361,4508.02,4509.29,16.32057742
2021-11-04T17:07:00Z,4511.74968,4511.92,4505,4507.3775,50.25057154
2021-11-04T17:08:00Z,4509.56359,4509.56359,4495.15,4503.8825,333.3846392
2021-11-04T17:09:00Z,4506.723045,4512.14,4505.4,4508.9375,16.56796935
2021-11-04T17:10:00Z,4507.830273,4507.830273,4503.98,4503.98,0.09696686
2021-11-04T17:11:00Z,4505.905136,4505.905136,4502.38,4502.7,25.59982625
2021-11-04T17:12:00Z,4504.302568,4506.3,4503.77,4505.035,3.65166667
2021-11-04T17:13:00Z,4504.668784,4505.1,4504.668784,4505.1,0.55508
2021-11-04T17:14:00Z,4504.884392,4504.884392,4497.77,4501.2325,3.61587197
2021-11-04T17:15:00Z,4503.058446,4503.058446,4497.01,4497.29,0.35450207
2021-11-04T17:16:00Z,4500.174223,4501.66,4497.8,4500.2775,11.97147277
2021-11-04T17:18:00Z,4500.225862,4510.55,4500.225862,4510.55,0.01
2021-11-04T17:19:00Z,4505.387931,4511.77,4505.387931,4510.4075,0.31637506
2021-11-04T17:20:00Z,4507.897715,4513.28,4507.897715,4512.92,1.21826982
2021-11-04T17:21:00Z,4510.408858,4513.5,4509.59,4512.1975,0.30713945
2021-11-04T17:22:00Z,4511.303179,4511.303179,4505.6,4506.54,0.19695914
2021-11-04T17:23:00Z,4508.921589,4514.59,4508.921589,4512.5125,1.9807588
2021-11-04T17:24:00Z,4510.717045,4510.717045,4509.56,4509.78,31.81323379
2021-11-04T17:26:00Z,4510.248522,4512.09,4509.56,4511.3575,0.83836211
2021-11-04T17:27:00Z,4510.803011,4511.83,4510.803011,4511.83,0.11026789
2021-11-04T17:28:00Z,4511.316506,4512.13,4511.316506,4511.98,0.50910233
2021-11-04T17:29:00Z,4511.648253,4512.04,4510.41,4511.225,28.00925455
